sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_F,gender_M
58,76.0,Commerce,74.0,Comm&Mgmt,80.0,Mkt&Fin,63.59,360000.0,False,True
59,62.0,Science,68.0,Comm&Mgmt,74.0,Mkt&Fin,57.99,268000.0,False,True
60,65.58,Science,72.11,Sci&Tech,57.6,Mkt&Fin,56.66,265000.0,False,True
61,70.0,Science,72.0,Comm&Mgmt,60.0,Mkt&Fin,57.24,260000.0,False,True
62,73.4,Commerce,66.89,Comm&Mgmt,61.6,Mkt&Fin,62.48,300000.0,False,True
63,64.2,Science,67.4,Sci&Tech,59.0,Mkt&Fin,59.69,240000.0,True,False
64,70.0,Commerce,64.0,Comm&Mgmt,68.5,Mkt&HR,59.5,,False,True
65,73.0,Commerce,75.0,Comm&Mgmt,61.0,Mkt&Fin,58.78,240000.0,False,True
66,47.0,Science,57.0,Comm&Mgmt,89.69,Mkt&HR,57.1,,False,True
67,74.0,Science,66.0,Comm&Mgmt,68.92,Mkt&HR,58.46,275000.0,False,True
68,78.5,Commerce,67.0,Comm&Mgmt,68.71,Mkt&Fin,60.99,275000.0,False,True
69,47.0,Commerce,72.7,Sci&Tech,79.0,Mkt&HR,59.24,,True,False
70,73.0,Science,66.0,Sci&Tech,70.0,Mkt&Fin,68.07,275000.0,False,True
71,61.0,Science,62.0,Sci&Tech,89.0,Mkt&Fin,65.45,360000.0,False,True
72,70.29,Commerce,71.0,Comm&Mgmt,95.0,Mkt&Fin,66.94,240000.0,False,True
73,67.0,Science,78.0,Comm&Mgmt,95.5,Mkt&Fin,68.53,240000.0,False,True
74,83.83,Commerce,71.72,Comm&Mgmt,86.0,Mkt&Fin,59.75,218000.0,False,True
75,64.8,Commerce,70.2,Comm&Mgmt,84.27,Mkt&Fin,67.2,336000.0,False,True
76,62.0,Commerce,77.5,Comm&Mgmt,74.0,Mkt&HR,67.0,,True,False
77,70.4,Arts,71.93,Comm&Mgmt,61.0,Mkt&Fin,64.27,230000.0,True,False
78,80.0,Science,65.0,Sci&Tech,69.0,Mkt&Fin,57.65,500000.0,False,True
79,90.9,Science,64.5,Sci&Tech,86.04,Mkt&Fin,59.42,270000.0,False,True
80,62.0,Science,66.0,Sci&Tech,75.0,Mkt&HR,67.99,,True,False
